ID,DisplayType,ItemDisplayInfoID,DefaultIconFileDataID,UiOrder,PlayerConditionID
153,2,5661,132759,15300,0
154,11,1542,135274,15400,0
155,11,472,135145,15500,0
156,11,5194,133478,15600,0
157,11,8483,132402,15700,0
158,2,5729,135009,15800,0
159,5,6050,134582,15900,0
160,6,6051,132540,16000,0
161,6,6060,132535,16100,0
162,5,1882,134582,16200,0
163,2,3265,135005,16300,0
164,6,9767,132539,16400,0
165,5,5341,134582,16500,0
166,2,9906,135009,16600,0
167,6,7081,132538,16700,0
168,5,5848,134582,16800,0
169,2,8370,135005,16900,0
170,6,6077,132543,17000,0
171,3,12647,132664,17100,0
172,3,12645,132665,17200,0
173,6,3261,132535,17300,0
174,3,15441,132724,17400,0
175,5,65304,443401,17500,0
176,5,73553,443400,17600,0
177,6,7180,132543,17700,0
178,3,10888,135011,17800,0
179,5,10006,134582,17900,0
180,6,10008,132539,18000,0
181,2,9031,135011,18100,0
182,6,5633,132540,18200,0
183,5,8003,134582,18300,0
184,6,11109,132538,18400,0
185,13,184381,134951,18500,0
186,5,5632,134582,18600,0
187,2,5447,135005,18700,0
188,5,8740,134582,18800,0
189,2,8738,133766,18900,0
190,11,5279,133476,19000,0
191,3,7777,135022,19100,0
192,5,9970,134592,19200,0
193,6,10052,132539,19300,0
194,3,2499,135006,19400,0
195,5,2308,134592,19500,0
196,6,10287,132539,19600,0
197,8,3218,132955,19700,0
198,5,7947,134706,19800,0
199,6,10872,132540,19900,0
200,3,10150,132725,20000,0
201,5,4265,134586,20100,0
202,6,14283,132537,20200,0
203,8,9785,132955,20300,0
204,3,6558,132631,20400,0
205,5,3409,134583,20500,0
206,6,4734,132535,20600,0
207,11,20190,135317,20700,0
208,7,8147,132610,20800,0
209,8,10890,132961,20900,0
210,8,12774,132952,21000,0
211,8,2951,132938,21100,0
212,8,66873,445518,21200,0
213,8,2368,132939,21300,0
214,11,26577,135274,21400,0
215,3,164727,132483,21500,0
216,11,20094,135346,21600,0
217,11,20218,135312,21700,0
218,11,1379,134708,21800,0
219,7,17007,132607,21900,0
220,11,19621,133482,22000,0
221,11,20443,135145,22100,0
222,11,1383,132392,22200,0
223,11,2743,135638,22300,0
224,11,1682,134708,22400,0
225,11,19644,133046,22500,0
226,11,4801,135323,22600,0
227,11,19699,133045,22700,0
228,11,19401,132405,22800,0
229,11,20334,135139,22900,0
230,6,10295,132579,23000,0
231,8,2186,132952,23100,0
232,5,2185,134591,23200,0
233,3,3900,135014,23300,0
234,6,2094,132543,23400,0
235,8,2359,132952,23500,0
236,5,2176,134589,23600,0
237,3,2106,132760,23700,0
238,11,20033,135329,23800,0
239,11,19726,133048,23900,0
240,11,19137,132398,24000,0
241,11,15990,135166,24100,0
242,11,2710,135637,24200,0
243,11,6470,135637,24300,0
244,3,17102,135011,24400,0
245,11,19271,132392,24500,0
246,11,2038,133476,24600,0
247,4,3394,132492,24700,0
248,3,5730,135010,24800,0
249,5,5731,134594,24900,0
250,8,14467,132952,25000,0
251,6,10908,132539,25100,0
252,6,3713,132592,25200,0
253,8,2101,132939,25300,0
254,5,5441,134706,25400,0
255,3,14271,132760,25500,0
256,3,1019,132624,25600,0
257,5,697,134583,25700,0
258,6,1020,132535,25800,0
259,8,510,132938,25900,0
260,11,2780,135346,26000,0
261,11,5208,133490,26100,0
262,11,22102,132402,26200,0
263,11,2943,135154,26300,0
264,2,9880,135006,26400,0
265,6,3443,132539,26500,0
266,11,19213,132399,26600,0
267,11,26579,135328,26700,0
268,11,5212,133478,26800,0
269,11,20357,135145,26900,0
270,8,3993,132940,27000,0
271,11,19713,133488,27100,0
272,11,5163,135326,27200,0
273,11,33458,132393,27300,0
274,11,19235,132408,27400,0
275,11,19242,135419,27500,0
276,11,20298,135150,27600,0
277,13,1680,134955,27700,0
278,11,20382,135162,27800,0
279,11,8494,132405,27900,0
280,11,20093,135327,28000,0
281,8,3524,132947,28100,0
282,11,20386,135141,28200,0
283,8,7816,132938,28300,0
284,7,6165,132604,28400,0
285,11,6456,134298,28500,0
286,1,1058,135039,28600,0
287,1,2953,135033,28700,0
288,1,1060,135033,28800,0
289,1,1068,135033,28900,0
290,11,28628,133476,29000,0
291,11,20170,135311,29100,0
292,3,1727,132624,29200,0
293,11,19703,133486,29300,0
294,11,22097,135280,29400,0
295,11,20110,135324,29500,0
296,11,22131,133044,29600,0
297,11,2861,133476,29700,0
298,11,22108,135423,29800,0
299,11,22151,135157,29900,0
300,11,19405,132405,30000,0
301,11,8272,135327,30100,0
302,11,5215,133729,30200,0
303,11,20329,135150,30300,0
304,3,16676,132667,30400,0
305,11,20256,135166,30500,0
306,11,20253,135144,30600,0
307,11,859,135274,30700,0
308,4,66341,236921,30800,0
309,11,1550,135274,30900,0
310,11,8583,133045,31000,0
311,11,18630,135154,31100,0
312,11,68756,132395,31200,0
313,11,1121,135274,31300,0
314,11,7453,133942,31400,0
315,6,703,132592,31500,0
316,11,7469,133729,31600,0
317,11,20327,135143,31700,0
318,11,19643,133476,31800,0
319,11,1716,135145,31900,0
320,11,679,135274,32000,0
321,0,1166,134955,32100,0
322,0,1170,134442,32200,0
323,13,30993,134947,32300,0
324,13,2456,136162,32400,0
325,3,67341,349115,32500,0
326,11,6520,135432,32600,0
327,6,67048,350647,32700,0
328,7,68840,367072,32800,0
329,7,66890,366058,32900,0
330,9,15120,133760,33000,0
331,11,22093,135276,33100,0
332,11,7495,134435,33200,0
333,11,184629,132395,33300,0
334,11,5226,133477,33400,0
335,11,20112,135350,33500,0
336,13,18663,134955,33600,0
337,13,1705,134950,33700,0
338,13,2329,134949,33800,0
339,13,2594,134952,33900,0
340,13,1644,134952,34000,0
341,11,5199,133490,34100,0
342,3,9536,132719,34200,0
343,7,1028,132603,34300,0
344,11,19625,133046,34400,0
345,4,10988,132498,34500,0
346,7,6193,132606,34600,0
347,11,5527,133489,34700,0
348,11,20122,135314,34800,0
349,11,3367,132405,34900,0
350,11,30392,132392,35000,0
351,11,22215,135580,35100,0
352,11,5530,133482,35200,0
353,11,20156,135302,35300,0
354,9,27752,133767,35400,0
355,3,12723,132742,35500,0
356,13,2210,134955,35600,0
357,0,178254,133132,35700,0
358,0,178262,133070,35800,0
359,11,6447,134298,35900,0
360,11,2767,132417,36000,0
361,11,4770,133481,36100,0
362,3,19035,132658,36200,0
363,4,15767,132518,36300,0
364,11,20391,135469,36400,0
365,8,1796,132951,36500,0
366,8,5444,132939,36600,0
367,7,11387,132603,36700,0
368,5,15673,134582,36800,0
369,8,17057,132947,36900,0
370,11,20377,135153,37000,0
371,11,19290,135424,37100,0
372,7,12741,132615,37200,0
373,9,28613,134354,37300,0
374,8,4583,132939,37400,0
375,8,68843,367074,37500,0
376,3,4589,135009,37600,0
377,5,8409,134586,37700,0
378,6,4463,132540,37800,0
379,8,9374,132952,37900,0
380,4,5728,132513,38000,0
381,7,5578,132609,38100,0
382,6,12850,132543,38200,0
383,9,23101,133762,38300,0
384,8,11051,132952,38400,0
385,5,9187,134589,38500,0
386,3,12426,132662,38600,0
387,11,5197,133482,38700,0
388,11,453,135421,38800,0
389,11,1546,135274,38900,0
390,11,19247,132392,39000,0
391,11,20087,135277,39100,0
392,11,18437,135159,39200,0
393,11,1595,133046,39300,0
394,11,5542,135473,39400,0
395,11,5203,133485,39500,0
396,5,2201,134581,39600,0
397,11,5540,135143,39700,0
398,11,5638,135129,39800,0
399,11,20442,135139,39900,0
400,11,20074,135276,40000,0
401,11,1547,135274,40100,0
402,11,19525,133046,40200,0
403,11,19613,133052,40300,0
404,11,8501,135424,40400,0
405,4,4473,132513,40500,0
406,6,4472,132540,40600,0
407,7,4471,132604,40700,0
408,8,4470,132952,40800,0
409,5,4469,134586,40900,0
410,3,5558,135009,41000,0
411,6,6019,132543,41100,0
412,9,23109,133763,41200,0
413,8,9791,132952,41300,0
414,5,8265,134591,41400,0
415,3,5861,135010,41500,0
416,5,16733,134585,41600,0
417,13,25943,134949,41700,0
418,11,8570,133048,41800,0
419,1,8019,135038,41900,0
420,6,6841,132535,42000,0
421,8,6842,132938,42100,0
422,11,8457,132415,42200,0
423,11,22214,135562,42300,0
424,11,19683,133476,42400,0
425,11,3272,133053,42500,0
426,11,19136,135421,42600,0
427,11,20109,135356,42700,0
428,11,19375,135424,42800,0
429,11,6475,135651,42900,0
430,11,20154,135325,43000,0
431,11,20402,135145,43100,0
432,8,16710,132940,43200,0
