ID,ItemID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum
14,17,0,153,0,9
15,25,0,154,0,9
16,35,0,155,0,9
17,36,0,156,0,9
18,37,0,157,0,9
19,38,0,158,0,5
20,39,0,159,0,9
21,40,0,160,0,9
22,43,0,161,0,9
23,44,0,162,0,9
24,45,0,163,0,5
25,47,0,164,0,9
26,48,0,165,0,9
27,49,0,166,0,5
28,51,0,167,0,9
29,52,0,168,0,9
30,53,0,169,0,5
31,55,0,170,0,9
32,56,0,171,0,9
33,57,0,172,0,9
34,59,0,173,0,9
35,60,0,174,0,9
36,61,0,175,0,9
37,79,0,176,0,9
38,80,0,177,0,9
39,85,0,178,0,9
40,120,0,179,0,9
41,121,0,180,0,9
42,127,0,181,0,5
43,129,0,182,0,9
44,139,0,183,0,9
45,140,0,184,0,9
46,143,0,185,0,9
47,147,0,186,0,9
48,148,0,187,0,5
49,153,0,188,0,9
50,154,0,189,0,5
51,192,0,190,0,9
52,193,0,191,0,9
53,194,0,192,0,9
54,195,0,193,0,9
55,200,0,194,0,9
56,201,0,195,0,9
57,202,0,196,0,9
58,203,0,197,0,9
59,209,0,198,0,9
60,210,0,199,0,9
61,236,0,200,0,9
62,237,0,201,0,9
63,238,0,202,0,9
64,239,0,203,0,9
65,285,0,204,0,9
66,286,0,205,0,9
67,287,0,206,0,9
68,647,0,207,0,4
69,710,0,208,0,9
70,711,0,209,0,9
71,714,0,210,0,9
72,718,0,211,0,9
73,719,0,212,0,9
74,720,0,213,0,4
75,727,0,214,0,4
76,746,0,215,0,9
77,753,0,216,0,4
78,754,0,217,0,4
79,756,0,218,0,4
80,763,0,219,0,9
81,766,0,220,0,9
82,767,0,221,0,9
83,768,0,222,0,9
84,776,0,223,0,4
85,778,0,224,0,9
86,781,0,225,0,9
87,788,0,226,0,9
88,789,0,227,0,4
89,790,0,228,0,4
90,791,0,229,0,4
91,792,0,230,0,9
92,793,0,231,0,9
93,794,0,232,0,9
94,795,0,233,0,9
95,796,0,234,0,9
96,797,0,235,0,9
97,798,0,236,0,9
98,799,0,237,0,9
99,809,0,238,0,4
100,810,0,239,0,4
101,811,0,240,0,4
102,812,0,241,0,4
103,816,0,242,0,4
104,820,0,243,0,4
105,821,0,244,0,4
106,826,0,245,0,4
107,827,0,246,0,4
108,832,0,247,0,4
109,837,0,248,0,9
110,838,0,249,0,9
111,839,0,250,0,9
112,840,0,251,0,9
113,843,0,252,0,9
114,844,0,253,0,9
115,845,0,254,0,9
116,846,0,255,0,9
117,847,0,256,0,9
118,848,0,257,0,9
119,849,0,258,0,9
120,850,0,259,0,9
121,851,0,260,0,9
122,852,0,261,0,9
123,853,0,262,0,9
124,854,0,263,0,9
125,859,0,264,0,5
126,860,0,265,0,9
127,863,0,266,0,4
128,864,0,267,0,4
129,865,0,268,0,4
130,866,0,269,0,4
131,867,0,270,0,4
132,868,0,271,0,4
133,869,0,272,0,4
134,870,0,273,0,4
135,871,0,274,0,4
136,872,0,275,0,1
137,873,0,276,0,4
138,876,0,277,0,9
139,880,0,278,0,4
140,885,0,279,0,4
141,886,0,280,0,4
142,888,0,281,0,1
143,890,0,282,0,4
144,892,0,283,0,4
145,897,0,284,0,4
146,899,0,285,0,4
147,906,0,286,0,9
148,907,0,287,0,9
149,908,0,288,0,9
150,909,0,289,0,9
151,911,0,290,0,4
152,913,0,291,0,9
153,914,0,292,0,4
154,920,0,293,0,4
155,922,0,294,0,9
156,923,0,295,0,9
157,924,0,296,0,9
158,925,0,297,0,9
159,926,0,298,0,9
160,927,0,228,0,9
161,928,0,299,0,9
162,934,0,300,0,4
163,935,0,301,0,4
164,936,0,302,0,4
165,937,0,303,0,4
166,940,0,304,0,4
167,943,0,305,0,4
168,944,0,306,0,4
169,945,0,307,0,9
170,948,0,307,0,9
171,983,0,308,0,2
172,1008,0,309,0,9
173,1009,0,310,0,5
174,1010,0,311,0,9
175,1011,0,312,0,9
176,1018,0,313,0,9
177,1117,0,314,0,9
178,1121,0,315,0,4
179,1131,0,316,0,5
180,1154,0,247,0,9
181,1155,0,317,0,1
182,1158,0,318,0,2
183,1159,0,319,0,9
184,1161,0,320,0,9
185,1162,0,321,0,9
186,1163,0,322,0,9
187,1168,0,323,0,4
188,1169,0,324,0,4
189,1171,0,325,0,2
190,1172,0,326,0,2
191,1173,0,327,0,9
192,1182,0,328,0,9
193,1183,0,329,0,2
194,1190,0,330,0,4
195,1194,0,331,0,9
196,1195,0,332,0,9
197,1196,0,333,0,9
198,1197,0,334,0,9
199,1198,0,335,0,9
200,1200,0,336,0,9
201,1201,0,337,0,9
202,1202,0,338,0,9
203,1203,0,339,0,4
204,1204,0,340,0,4
205,1207,0,341,0,4
206,1211,0,342,0,4
207,1213,0,343,0,9
208,1214,0,344,0,4
209,1215,0,345,0,4
210,1216,0,346,0,9
211,1218,0,347,0,4
212,1219,0,348,0,4
213,1220,0,349,0,4
214,1259,0,350,0,9
215,1263,0,351,0,4
216,1264,0,352,0,5
217,1265,0,353,0,4
218,1270,0,354,0,5
219,1273,0,355,0,5
220,1275,0,256,0,5
221,1276,0,356,0,5
222,1280,0,357,0,4
223,1282,0,358,0,5
224,1287,0,359,0,4
225,1292,0,360,0,1
226,1296,0,361,0,4
227,1297,0,362,0,4
228,1299,0,363,0,4
229,1300,0,364,0,4
230,1302,0,365,0,5
231,1303,0,259,0,5
232,1304,0,366,0,5
233,1306,0,367,0,5
234,1310,0,368,0,5
235,1314,0,369,0,4
236,1317,0,370,0,5
237,1318,0,371,0,4
238,1351,0,372,0,4
239,1355,0,373,0,4
240,1359,0,374,0,9
241,1360,0,375,0,2
242,1364,0,376,0,9
243,1366,0,377,0,9
244,1367,0,378,0,9
245,1368,0,379,0,9
246,1369,0,380,0,9
247,1370,0,381,0,9
248,1372,0,373,0,9
249,1374,0,382,0,9
250,1376,0,383,0,9
251,1377,0,384,0,9
252,1378,0,385,0,9
253,1380,0,386,0,9
254,1382,0,387,0,9
255,1383,0,388,0,9
256,1384,0,389,0,9
257,1386,0,390,0,9
258,1387,0,391,0,4
259,1388,0,392,0,9
260,1389,0,393,0,9
261,1391,0,394,0,4
262,1394,0,395,0,4
263,1395,0,162,0,9
264,1396,0,396,0,9
265,1405,0,397,0,4
266,1406,0,398,0,4
267,1411,0,399,0,9
268,1412,0,400,0,9
269,1413,0,401,0,9
270,1414,0,402,0,9
